Key,Id,Russian(ru),English(en),Turkish(tr)
"3d_Name",14239081914425344,"3D Амням","3D OmNom","3D OmNom"
"3d_Description",14239082031865856,,,
"acid_Name",14239082493239296,"Кислотный Амням","",
"acid_Description",14239082493239297,,,
"baby_Name",14239082711343104,"Почти взрослый Амням",,
"baby_Description",14239082711343105,,,
"baguette_Name",14239082958807040,"Амням с багетом",,
"baguette_Description",14239082958807041,,,
"broccoli_Name",14239083252408320,"БрокколиНям",,
"broccoli_Description",14239083252408321,"",,
"china_Name",14239083541815296,"Китайский Амням",,
"china_Description",14239083541815297,,,
"christmas_Name",14239083768307712,"Новогодний Амням",,
"christmas_Description",14239083768307713,,,
"classic_Name",14239084011577344,"Амням",,
"classic_Description",14239084011577345,,,
"cool_Name",14239084275818496,"Крутой Амням",,
"cool_Description",14239084275818497,,,
"cowboy_Name",14239084565225472,"Ковбой Амням",,
"cowboy_Description",14239084565225473,,,
"croissant_Name",14239084821078016,"Эстетичный Амням",,
"croissant_Description",14239084821078017,,,
"crystall_Name",14239085055959040,"Алхимик Амням",,
"crystall_Description",14239085055959041,,,
"demon_Name",14239085282451456,"ДемоНям",,
"demon_Description",14239085282451457,,,
"dragon_Name",14239085546692608,"Амням дракончик",,
"dragon_Description",14239085546692609,,,
"dumpling_Name",14239085907402752,"Пельменям",,
"dumpling_Description",14239085907402753,,,
"erenyega_Name",14239086138089472,"Эреням Йеганям",,
"erenyega_Description",14239086138089473,,,
"fireking_Name",14239086385553408,"Огренный король Амням",,
"fireking_Description",14239086385553409,,,
"flower_Name",14239086674960384,"Цветочный Амням",,
"flower_Description",14239086674960385,,,
"forest_Name",14239086960173056,"Лесной Амням",,
"forest_Description",14239086960173057,,,
"freedom_Name",14239087207636992,"Свободный Амням",,
"freedom_Description",14239087207636993,,,
"gamer_Name",14239087392186368,"Геймер Амням",,
"gamer_Description",14239087392186369,,,
"geisha_Name",14239087631261696,"Гейша Амнямша",,
"geisha_Description",14239087631261697,,,
"ghost_Name",14239087887114240,"Вознесшийся Амням",,
"ghost_Description",14239087887114241,,,
